key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,volstandard,voldeviant,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,RegStandardPitch,RegDeviantPitch,key_resp_6.keys,key_resp_6.rt,RegAudSequence,diff-reg,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp_7.keys,key_resp_7.rt,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,standard,devient,key_resp_8.keys,key_resp_8.rt,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,key_resp_9.keys,key_resp_9.rt
space,18.5505,space,72.1682,space,1.1281,0,0,0,0,1,RegPatterns/01-ms_2_2_4_1_3_unit230.mp3,RegPatterns/01d-ms_2_2_4_3_1_unit230.mp3,train3_audtrain2,2023-11-09_20h56.44.277,AudTraining2,2021.2.3,Win32,59.7335882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train3_audtrain2,2023-11-09_20h56.44.277,AudTraining2,2021.2.3,Win32,59.7335882,space,12.801,g,0.6929,0,0,0,0,1,RegPatterns/Noise.mp3,RegPatterns/Noise.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train3_audtrain2,2023-11-09_20h56.44.277,AudTraining2,2021.2.3,Win32,59.7335882,,,,,,,,,,,,space,41.042,RegPatterns/26d-ms_1_1_2_1_1_2_4_unit250.mp3,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train3_audtrain2,2023-11-09_20h56.44.277,AudTraining2,2021.2.3,Win32,59.7335882,,,,,,,,,,,,,,RegPatterns/26-ms_1_1_2_2_1_1_4_unit250.mp3,0,1,0,1,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train3_audtrain2,2023-11-09_20h56.44.277,AudTraining2,2021.2.3,Win32,59.7335882,,,,,,,,,,,,,,RegPatterns/26-ms_1_1_2_2_1_1_4_unit250.mp3,0,2,0,2,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train3_audtrain2,2023-11-09_20h56.44.277,AudTraining2,2021.2.3,Win32,59.7335882,,,,,,,,,,,,,,,,,,,,,1,0.3081,0,0,0,8,1,RegPatterns/26-ms_1_1_2_2_1_1_4_unit250.mp3,RegPatterns/26d-ms_1_1_2_1_1_2_4_unit250.mp3,,,,,,,,,
,,,,,,,,,,,,,train3_audtrain2,2023-11-09_20h56.44.277,AudTraining2,2021.2.3,Win32,59.7335882,,,,,,,,,,,,,,RegPatterns/29d-ms_3_1_2_1_1_3_1_unit250.mp3,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train3_audtrain2,2023-11-09_20h56.44.277,AudTraining2,2021.2.3,Win32,59.7335882,,,,,,,,,,,,,,RegPatterns/29-ms_3_1_2_1_1_1_3_unit250.mp3,0,1,0,1,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train3_audtrain2,2023-11-09_20h56.44.277,AudTraining2,2021.2.3,Win32,59.7335882,,,,,,,,,,,,,,RegPatterns/29-ms_3_1_2_1_1_1_3_unit250.mp3,0,2,0,2,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train3_audtrain2,2023-11-09_20h56.44.277,AudTraining2,2021.2.3,Win32,59.7335882,,,,,,,,,,,,,,,,,,,,,3,22.239,0,1,1,9,1,RegPatterns/29-ms_3_1_2_1_1_1_3_unit250.mp3,RegPatterns/29d-ms_3_1_2_1_1_3_1_unit250.mp3,,,,,,,,,
